user,intent_num
가장 많이 팔리는 메뉴는 뭔가요?,3
사람들이 좋아하는 메뉴 있어?,3
사람들이 좋아하는 메뉴 뭐 있는지 알려줘,3
많은 사람들이 좋아하는 메뉴 있어?,3
여러 사람들이 찾는 메뉴 있어?,3
여럿이 찾는 메뉴 뭐 있어?,3
여러명이 좋아하는 메뉴 뭐 있을까?,3
요즘 인기 있는 메뉴는 어떤 건가요?,3
사람들이 가장 자주 찾는 메뉴 알려주세요.,3
베스트셀러 메뉴는 어떤 건가요?,3
고객들이 좋아하는 메뉴가 뭔지 궁금해요.,3
여기서 가장 인기 있는 음식은 뭔가요?,3
많이 주문되는 메뉴는 어떤 게 있어요?,3
요즘 핫한 메뉴는 뭐예요?,3
판매량이 높은 메뉴를 알려주세요.,3
인기 순위 1위 메뉴는 무엇인가요?,3
제일 잘 나가는 메뉴를 추천해주세요.,3
고객 후기 좋은 메뉴를 알려주세요.,3
사람들 사이에서 가장 화제인 메뉴는 뭔가요?,3
여기 대표적인 인기 메뉴가 궁금해요.,3
최근에 가장 많이 주문된 메뉴는 뭔가요?,3
여기서 꼭 먹어봐야 할 인기 메뉴는 뭔가요?,3
히트 메뉴는 무엇인가요?,3
항상 주문 많은 메뉴는 뭔가요?,3
이곳의 시그니처 인기 메뉴는 무엇인가요?,3
가장 경제적인 인기 메뉴는 어떤 게 있나요?,3
한 번에 가장 많이 주문된 메뉴는 뭔가요?,3
평소 잘 모르던 인기 메뉴는 뭐가 있나요?,3
요즘 가장 많이 팔리는 메뉴는 무엇인가요?,3
고객들이 자주 주문하는 메뉴가 뭔가요?,3
이곳에서 가장 인기 있는 메뉴는 어떤 건가요?,3
베스트셀러 메뉴를 알려주세요.,3
매장에서 가장 잘 팔리는 음식을 추천해주세요.,3
대표적으로 인기 있는 메뉴는 어떤 게 있나요?,3
고객 반응이 좋은 메뉴를 소개해 주세요.,3
주문량이 많은 메뉴는 무엇인가요?,3
인기 메뉴 뭐야?,3
인기 메뉴 알려줘,3
인기 메뉴 말해줄래?,3
매장에서 잘나가는 메뉴 뭐야>?,3
인기 좋은 메뉴 뭐가 있을까?,3
가장 인기 있는 요리 줘봐,3
가장 인기 많은 음식 줘봐,3
인기 음식이나 요리가 있어?,3
메뉴 추천해줘,4
너가 자신있게 추천하는 메뉴가 뭐니,4
가장 자신있는 메뉴가 뭐야?,4
자신있는 메뉴 알려줄래?,4
매장에서 가장 자신있는 메뉴가 뭐야?,4
가게에서 자신있어하는 음식 있어?,4
자신있는 요리 알려줄래?,4
추천할만한 메뉴 뭐 있어?,4
음식 중에 추천좀,4
먹을만한 음식 있나?,4
추천해줄래?,4
혼자서도 맛있게 먹을 수 있는 추천 메뉴는요?,4
단체 모임에 좋은 추천 메뉴는 뭔가요?,4
파티에 어울리는 추천 메뉴가 있나요?,4
기념일에 먹기 좋은 추천 메뉴는 어떤 게 있을까요?,4
"딱히 먹고 싶은거 없는데, 추천 해주라",4
메뉴 추천 부탁합니다,4
추천 메뉴 뭐 있어?,4
메뉴 추천을 부탁드려요,4
추천 메뉴 뭐 있는지 알려줘,4
메뉴 추천 가능해?,4
가족 손님들이 자주 추천받는 메뉴는 뭔가요?,4
리뷰 추천 메뉴 줘봐,4
